Date,Open,high,Low,Close,Adj Close,Ton
5/31/2011,970,1000,950,973,973,15.3
6/1/2011,955,970,955,955,955,112.2
6/2/2011,940,940,930,942,942,28.05
6/3/2011,950,950,940,950,950,53.55
6/6/2011,960,962,960,960,960,33.15
6/7/2011,960,960,950,960,960,81.6
6/8/2011,945,945,945,945,945,5.1
6/9/2011,940,955,940,940,940,22.95
6/10/2011,943,945,943,943,943,10.2
6/13/2011,940,940,940,940,940,2.55
6/14/2011,940,940,930,940,940,40.8
6/15/2011,935,935,935,935,935,30.6
6/16/2011,930,930,930,930,930,73.95
6/17/2011,920,920,920,920,920,76.5
6/20/2011,910,915,910,910,910,30.6
6/21/2011,915,920,910,915,915,68.85
6/22/2011,910,915,910,910,910,25.5
6/23/2011,895,895,895,898,898,5.1
6/24/2011,900,900,900,910,910,25.5
6/27/2011,890,890,885,890,890,45.9
6/28/2011,855,860,855,855,855,40.8
6/29/2011,850,850,840,850,850,58.65
6/30/2011,850,855,850,850,850,71.4
7/1/2011,870,870,870,870,870,25.5
7/4/2011,914,914,880,914,914,7.65
7/5/2011,960,960,960,960,960,5.1
7/6/2011,1005,1008,1000,1005,1005,51
7/7/2011,1015,1015,1015,1020,1020,5.1
7/11/2011,1000,1000,1000,1000,1000,5.1
7/12/2011,1000,1000,1000,1000,1000,5.1
7/13/2011,1000,1000,980,1005,1005,7.65
7/14/2011,1000,1000,980,1000,1000,35.7
7/15/2011,1000,1000,1000,1020,1020,10.2
7/18/2011,1000,1000,1000,1000,1000,5.1
7/19/2011,1010,1010,1010,1010,1010,22.95
7/20/2011,1025,1025,1025,1025,1025,25.5
7/21/2011,1010,1010,1010,1010,1010,5.1
7/22/2011,1045,1045,1045,1050,1050,35.7
7/25/2011,1060,1060,1050,1062,1062,25.5
7/26/2011,1080,1080,1080,1080,1080,15.3
7/27/2011,1080,1080,1080,1080,1080,17.85
7/28/2011,1060,1075,1060,1060,1060,35.7
7/29/2011,1060,1060,1050,1063,1063,15.3
8/2/2011,1030,1030,1010,1030,1030,35.7
8/3/2011,1020,1020,1020,1025,1025,7.65
8/4/2011,1000,1000,1000,1010,1010,38.25
8/5/2011,975,975,965,975,975,45.9
8/8/2011,995,995,995,998,998,20.4
8/9/2011,1035,1040,1025,1035,1035,104.55
8/10/2011,1035,1040,1035,1035,1035,43.35
8/11/2011,1020,1020,1020,1020,1020,43.35
8/12/2011,1030,1030,1030,1030,1030,10.2
8/15/2011,1040,1040,1035,1040,1040,45.9
8/16/2011,1050,1060,1040,1050,1050,68.85
8/18/2011,1120,1120,1120,1120,1120,2.55
8/22/2011,1150,1150,1150,1150,1150,22.95
8/23/2011,1150,1150,1150,1150,1150,20.4
8/24/2011,1175,1175,1175,1175,1175,17.85
8/25/2011,1175,1175,1160,1175,1175,10.2
8/26/2011,1120,1130,1120,1120,1120,25.5
8/29/2011,1130,1130,1130,1130,1130,20.4
8/31/2011,1140,1140,1140,1140,1140,20.4
9/1/2011,1150,1150,1140,1150,1150,66.3
9/2/2011,1150,1150,1150,1150,1150,25.5
9/5/2011,1150,1150,1150,1150,1150,12.75
9/6/2011,1150,1150,1150,1150,1150,38.25
9/7/2011,1160,1160,1150,1160,1160,25.5
9/8/2011,1150,1160,1150,1150,1150,17.85
9/9/2011,1170,1170,1170,1170,1170,5.1
9/13/2011,1170,1170,1170,1170,1170,15.3
9/14/2011,1170,1175,1170,1170,1170,17.85
9/15/2011,1180,1180,1180,1180,1180,38.25
9/16/2011,1200,1200,1200,1203,1203,15.3
9/19/2011,1200,1200,1200,1200,1200,2.55
9/20/2011,1210,1210,1210,1210,1210,15.3
9/21/2011,1220,1220,1220,1220,1220,51
9/22/2011,1220,1220,1220,1220,1220,15.3
9/23/2011,1185,1200,1185,1187,1187,28.05
9/27/2011,1140,1140,1140,1140,1140,25.5
9/29/2011,1130,1130,1120,1133,1133,56.1
9/30/2011,1140,1150,1140,1140,1140,61.2
10/3/2011,1200,1200,1200,1205,1205,7.65
10/4/2011,1200,1200,1200,1200,1200,63.75
10/5/2011,1190,1200,1190,1190,1190,15.3
10/6/2011,1170,1170,1170,1173,1173,7.65
10/7/2011,1155,1155,1155,1155,1155,5.1
10/10/2011,1140,1140,1135,1142,1142,25.5
10/11/2011,1100,1105,1100,1103,1103,79.05
10/12/2011,1140,1140,1140,1140,1140,15.3
10/13/2011,1160,1160,1150,1163,1163,17.85
10/14/2011,1155,1155,1150,1155,1155,17.85
10/17/2011,1150,1150,1150,1150,1150,10.2
10/18/2011,1150,1150,1150,1150,1150,38.25
10/19/2011,1140,1140,1140,1140,1140,68.85
10/20/2011,1155,1155,1145,1155,1155,10.2
10/21/2011,1155,1155,1150,1155,1155,15.3
10/25/2011,1150,1150,1150,1150,1150,22.95
10/26/2011,1150,1150,1145,1150,1150,22.95
10/28/2011,1100,1100,1100,1100,1100,10.2
10/31/2011,1065,1065,1065,1065,1065,5.1
11/1/2011,1035,1045,1020,1035,1035,20.4
11/2/2011,1020,1020,1010,1020,1020,58.65
11/3/2011,990,990,970,990,990,43.35
11/4/2011,990,1010,990,990,990,5.1
11/7/2011,1050,1050,1050,1050,1050,35.7
11/8/2011,1100,1103,1100,1100,1100,17.85
11/9/2011,1130,1130,1130,1130,1130,7.65
11/10/2011,1140,1140,1140,1140,1140,10.2
